# wavelength, spectrum
9.663600000000000136e+02,9.749577175779162719e-01
9.679299999999999500e+02,9.797533702494611862e-01
9.695000000000000000e+02,9.807587822308879710e-01
9.710700000000000500e+02,9.783644523829675421e-01
9.726399999999999864e+02,9.793028851042685501e-01
9.742100000000000364e+02,9.742907966543624676e-01
9.757799999999999727e+02,9.773269258503356482e-01
9.773500000000000227e+02,9.737093151662542523e-01
9.789199999999999591e+02,9.747597504647604882e-01
9.804900000000000091e+02,9.724658177039215978e-01
9.820599999999999454e+02,9.723289285125840120e-01
9.836299999999999955e+02,9.703569876636580771e-01
9.852000000000000455e+02,9.703194264832399885e-01
9.867799999999999727e+02,9.689816048342559940e-01
9.883500000000000227e+02,9.694535178051058022e-01
9.899199999999999591e+02,9.662821318911017920e-01
9.914900000000000091e+02,9.675383635765981705e-01
9.930599999999999454e+02,9.663802513137400574e-01
9.946299999999999955e+02,9.667458135658476559e-01
9.962100000000000364e+02,9.650683169809969320e-01
9.977799999999999727e+02,9.636887243826391947e-01
9.993500000000000227e+02,9.626932245242024733e-01
1.000919999999999959e+03,9.632248630341846418e-01
1.002500000000000000e+03,9.606305470266612856e-01
1.004070000000000050e+03,9.631128519820558731e-01
1.005639999999999986e+03,9.610624272248113886e-01
1.007210000000000036e+03,9.643232112367526865e-01
1.008789999999999964e+03,9.645016783836052321e-01
1.010360000000000014e+03,9.662403967945889516e-01
1.011929999999999950e+03,9.674500539355671558e-01
1.013509999999999991e+03,9.690897356320788969e-01
1.015080000000000041e+03,9.688201801092439780e-01
1.016659999999999968e+03,9.712517358359655795e-01
1.018230000000000018e+03,9.719647975918428440e-01
1.019809999999999945e+03,9.741781970760803322e-01
1.021379999999999995e+03,9.733707870059873368e-01
1.022960000000000036e+03,9.761639932178260981e-01
1.024529999999999973e+03,9.754738235502268262e-01
1.026109999999999900e+03,9.771631485377858528e-01
1.027680000000000064e+03,9.767798807690407648e-01
1.029259999999999991e+03,9.785052036027143130e-01
1.030829999999999927e+03,9.783269197572992404e-01
1.032410000000000082e+03,9.800121537958123019e-01
1.033980000000000018e+03,9.792697849364427887e-01
1.035559999999999945e+03,9.806912694995827406e-01
1.037140000000000100e+03,9.802997768424192016e-01
1.038710000000000036e+03,9.820398302019281989e-01
1.040289999999999964e+03,9.813241009876296772e-01
1.041869999999999891e+03,9.849760551595150293e-01
1.043440000000000055e+03,9.842011022827973354e-01
1.045019999999999982e+03,9.885633637574529065e-01
1.046599999999999909e+03,9.883516446045551573e-01
1.048180000000000064e+03,9.903178093905173895e-01
1.049750000000000000e+03,9.902831883829326109e-01
1.051329999999999927e+03,9.918782185707620824e-01
1.052910000000000082e+03,9.897366493716661662e-01
1.054490000000000009e+03,9.906762617796301962e-01
1.056069999999999936e+03,9.912307984768204960e-01
1.057650000000000091e+03,9.928858517016915242e-01
1.059220000000000027e+03,9.917263439489955035e-01
1.060799999999999955e+03,9.930318050849324951e-01
1.062380000000000109e+03,9.915002812643401997e-01
1.063960000000000036e+03,9.932612402768997706e-01
