# wavelength, spectrum
2.887200000000000273e+02,5.367434486999909937e-03
2.892400000000000091e+02,5.608946443758337438e-03
2.897599999999999909e+02,5.395017118386494399e-03
2.902699999999999818e+02,5.375128914883577601e-03
2.907900000000000205e+02,5.290751344926617437e-03
2.913100000000000023e+02,5.781722048589323093e-03
2.918199999999999932e+02,5.533411808571276139e-03
2.923399999999999750e+02,5.874142907542256355e-03
2.928500000000000227e+02,5.896510395271604282e-03
2.933700000000000045e+02,6.081440738730541605e-03
2.938899999999999864e+02,6.377292320545116175e-03
2.943999999999999773e+02,6.618027796118552443e-03
2.949200000000000159e+02,7.086855352362121663e-03
2.954300000000000068e+02,6.378753079872631106e-03
2.959499999999999886e+02,6.752020299983588388e-03
2.964599999999999795e+02,6.800688672353137620e-03
2.969800000000000182e+02,6.686744962762720783e-03
2.974900000000000091e+02,7.046418037739461335e-03
2.980099999999999909e+02,6.993203943104621227e-03
2.985199999999999818e+02,7.121989025403296231e-03
2.990400000000000205e+02,6.565446243093803723e-03
2.995500000000000114e+02,7.688870175001060077e-03
3.000699999999999932e+02,7.521032218507073090e-03
3.005799999999999841e+02,7.581857692480280589e-03
3.010899999999999750e+02,7.336642152149724233e-03
3.016100000000000136e+02,7.771367294894751358e-03
3.021200000000000045e+02,7.803274717011917522e-03
3.026299999999999955e+02,9.037332238811097984e-03
3.031499999999999773e+02,8.128457253440236202e-03
3.036600000000000250e+02,8.813556154194835887e-03
3.041700000000000159e+02,8.356168422655636807e-03
3.046899999999999977e+02,9.757503755183550079e-03
3.051999999999999886e+02,9.793811090125495097e-03
3.057099999999999795e+02,9.246586777705775861e-03
3.062300000000000182e+02,9.079581502480997546e-03
3.067400000000000091e+02,1.053751380580834202e-02
3.072500000000000000e+02,8.613133819123789878e-03
3.077599999999999909e+02,9.419956513750412166e-03
3.082799999999999727e+02,9.657816311550557545e-03
3.087900000000000205e+02,1.025758277446331933e-02
3.093000000000000114e+02,1.028302150664965608e-02
3.098100000000000023e+02,1.053191769263725659e-02
3.103199999999999932e+02,1.111291789866408058e-02
3.108399999999999750e+02,9.760217677217363635e-03
3.113500000000000227e+02,1.069433949564444104e-02
3.118600000000000136e+02,9.469084408118741067e-03
3.123700000000000045e+02,1.057075394376911365e-02
3.128799999999999955e+02,9.981015043653580082e-03
3.133899999999999864e+02,1.047556484894691768e-02
3.138999999999999773e+02,1.128351317690783236e-02
3.144100000000000250e+02,1.079111486958260653e-02
3.149200000000000159e+02,1.311288848816674450e-02
3.154300000000000068e+02,1.178592409640117147e-02
3.159399999999999977e+02,1.242161700195142104e-02
3.164499999999999886e+02,1.182084265847837580e-02
3.169599999999999795e+02,1.294440730118701956e-02
